"행정구역","2023년10월_계_총인구수","2023년10월_계_연령구간인구수","2023년10월_계_0~9세","2023년10월_계_10~19세","2023년10월_계_20~29세","2023년10월_계_30~39세","2023년10월_계_40~49세","2023년10월_계_50~59세","2023년10월_계_60~69세","2023년10월_계_70~79세","2023년10월_계_80~89세","2023년10월_계_90~99세","2023년10월_계_100세 이상","2023년10월_남_총인구수","2023년10월_남_연령구간인구수","2023년10월_남_0~9세","2023년10월_남_10~19세","2023년10월_남_20~29세","2023년10월_남_30~39세","2023년10월_남_40~49세","2023년10월_남_50~59세","2023년10월_남_60~69세","2023년10월_남_70~79세","2023년10월_남_80~89세","2023년10월_남_90~99세","2023년10월_남_100세 이상","2023년10월_여_총인구수","2023년10월_여_연령구간인구수","2023년10월_여_0~9세","2023년10월_여_10~19세","2023년10월_여_20~29세","2023년10월_여_30~39세","2023년10월_여_40~49세","2023년10월_여_50~59세","2023년10월_여_60~69세","2023년10월_여_70~79세","2023년10월_여_80~89세","2023년10월_여_90~99세","2023년10월_여_100세 이상"
"서울특별시 성동구 금호2.3가동(1120061500)","21,960","21,960","1,553","1,288","2,488","3,788","3,553","3,507","3,108","1,680","874","113","8","10,477","10,477","805","650","1,242","1,860","1,750","1,662","1,437","717","318","33","3","11,483","11,483","748","638","1,246","1,928","1,803","1,845","1,671","963","556","80","5"
"서울특별시 성동구 금호4가동(1120062000)","14,170","14,170","1,193","933","1,325","2,333","2,613","2,125","1,955","1,093","533","64","3","6,721","6,721","629","474","668","1,079","1,288","1,046","875","459","188","13","2","7,449","7,449","564","459","657","1,254","1,325","1,079","1,080","634","345","51","1"
"서울특별시 성동구 옥수동(1120064500)","25,390","25,390","2,308","1,604","2,466","4,520","4,425","3,817","3,421","1,772","925","128","4","11,763","11,763","1,116","798","1,168","2,026","2,162","1,794","1,540","776","346","35","2","13,627","13,627","1,192","806","1,298","2,494","2,263","2,023","1,881","996","579","93","2"
"서울특별시 성동구 성수1가제1동(1120065000)","15,470","15,470","832","918","2,216","2,840","2,042","2,775","2,423","935","435","51","3","7,697","7,697","440","475","1,116","1,430","1,022","1,343","1,247","444","167","11","2","7,773","7,773","392","443","1,100","1,410","1,020","1,432","1,176","491","268","40","1"
"서울특별시 성동구 성수1가제2동(1120066000)","12,005","12,005","599","752","1,777","2,309","1,761","1,844","1,653","852","410","48","0","5,875","5,875","301","400","844","1,145","855","935","812","395","176","12","0","6,130","6,130","298","352","933","1,164","906","909","841","457","234","36","0"
"서울특별시 성동구 성수2가제1동(1120067000)","14,617","14,617","581","725","1,894","2,411","1,888","2,555","2,724","1,220","555","63","1","7,577","7,577","302","358","976","1,293","1,030","1,352","1,454","571","223","18","0","7,040","7,040","279","367","918","1,118","858","1,203","1,270","649","332","45","1"
"서울특별시 성동구 성수2가제3동(1120069000)","10,099","10,099","459","491","1,671","1,833","1,332","1,579","1,491","803","399","39","2","5,039","5,039","250","252","780","888","691","815","798","391","160","13","1","5,060","5,060","209","239","891","945","641","764","693","412","239","26","1"
"서울특별시 성동구 송정동(1120072000)","9,772","9,772","392","488","1,444","1,552","1,332","1,693","1,719","779","334","38","1","5,128","5,128","214","265","721","857","737","903","924","360","137","10","0","4,644","4,644","178","223","723","695","595","790","795","419","197","28","1"
"서울특별시 성동구 용답동(1120079000)","12,004","12,004","281","543","2,698","1,986","1,422","1,898","1,632","960","528","54","2","6,178","6,178","147","282","1,183","1,049","805","1,121","899","449","230","12","1","5,826","5,826","134","261","1,515","937","617","777","733","511","298","42","1"
"서울특별시 광진구 (1121500000)","336,294","336,294","15,442","23,971","59,249","55,004","48,412","52,935","45,593","23,427","10,842","1,378","41","161,662","161,662","7,915","12,086","27,522","27,396","23,740","25,725","21,792","10,676","4,425","374","11","174,632","174,632","7,527","11,885","31,727","27,608","24,672","27,210","23,801","12,751","6,417","1,004","30"
"서울특별시 광진구 화양동(1121571000)","23,369","23,369","286","695","10,347","4,777","2,052","1,958","1,671","1,029","490","62","2","11,068","11,068","143","296","4,419","2,506","1,103","1,079","827","456","221","18","0","12,301","12,301","143","399","5,928","2,271","949","879","844","573","269","44","2"
"서울특별시 광진구 군자동(1121573000)","19,153","19,153","651","956","4,273","3,501","2,490","2,634","2,550","1,370","661","65","2","9,452","9,452","339","506","2,061","1,818","1,253","1,325","1,225","648","266","11","0","9,701","9,701","312","450","2,212","1,683","1,237","1,309","1,325","722","395","54","2"
"서울특별시 광진구 중곡제1동(1121574000)","15,266","15,266","574","668","2,823","3,038","1,953","2,323","2,182","1,133","504","66","2","7,242","7,242","290","352","1,155","1,482","1,041","1,126","1,042","531","207","15","1","8,024","8,024","284","316","1,668","1,556","912","1,197","1,140","602","297","51","1"
"서울특별시 광진구 중곡제2동(1121575000)","20,606","20,606","859","1,245","3,330","3,684","2,865","3,322","3,042","1,575","611","70","3","9,698","9,698","440","630","1,497","1,789","1,411","1,515","1,430","702","272","11","1","10,908","10,908","419","615","1,833","1,895","1,454","1,807","1,612","873","339","59","2"
"서울특별시 광진구 중곡제3동(1121576000)","15,764","15,764","597","836","2,342","2,750","2,071","2,679","2,509","1,343","584","53","0","7,776","7,776","322","423","1,129","1,427","1,091","1,311","1,224","594","238","17","0","7,988","7,988","275","413","1,213","1,323","980","1,368","1,285","749","346","36","0"
"서울특별시 광진구 중곡제4동(1121577000)","27,599","27,599","1,037","1,663","3,964","4,052","3,578","5,063","4,687","2,419","1,022","110","4","13,440","13,440","540","866","1,973","2,110","1,795","2,365","2,229","1,110","427","24","1","14,159","14,159","497","797","1,991","1,942","1,783","2,698","2,458","1,309","595","86","3"
"서울특별시 광진구 능동(1121578000)","11,115","11,115","445","499","2,250","2,464","1,606","1,433","1,302","730","350","35","1","5,080","5,080","222","249","969","1,117","776","680","581","319","158","9","0","6,035","6,035","223","250","1,281","1,347","830","753","721","411","192","26","1"
"서울특별시 광진구 광장동(1121581000)","34,065","34,065","2,457","5,404","3,850","3,346","6,883","6,021","3,465","1,561","904","170","4","16,493","16,493","1,302","2,739","1,922","1,502","3,086","3,048","1,723","764","349","56","2","17,572","17,572","1,155","2,665","1,928","1,844","3,797","2,973","1,742","797","555","114","2"
"서울특별시 광진구 자양제1동(1121582000)","21,898","21,898","740","1,400","3,918","3,800","3,151","3,380","3,065","1,598","761","84","1","10,596","10,596","374","732","1,902","1,974","1,548","1,651","1,434","669","292","20","0","11,302","11,302","366","668","2,016","1,826","1,603","1,729","1,631","929","469","64","1"
"서울특별시 광진구 자양제2동(1121583000)","23,670","23,670","1,240","1,688","3,223","3,675","3,595","3,903","3,701","1,803","740","99","3","11,504","11,504","624","874","1,592","1,866","1,765","1,844","1,757","841","311","29","1","12,166","12,166","616","814","1,631","1,809","1,830","2,059","1,944","962","429","70","2"
"서울특별시 광진구 자양제3동(1121584000)","27,260","27,260","1,956","2,417","3,453","3,886","4,249","4,562","3,819","1,777","965","172","4","13,020","13,020","1,018","1,162","1,730","1,808","2,000","2,186","1,823","837","399","55","2","14,240","14,240","938","1,255","1,723","2,078","2,249","2,376","1,996","940","566","117","2"
"서울특별시 광진구 자양제4동(1121584700)","19,838","19,838","794","911","3,250","3,354","2,567","3,133","3,216","1,753","774","84","2","9,808","9,808","402","442","1,553","1,755","1,339","1,611","1,605","783","294","23","1","10,030","10,030","392","469","1,697","1,599","1,228","1,522","1,611","970","480","61","1"
"서울특별시 광진구 구의제1동(1121585000)","23,186","23,186","864","1,183","4,798","4,566","3,256","3,434","2,854","1,438","703","87","3","11,082","11,082","422","592","2,155","2,297","1,662","1,663","1,353","633","278","27","0","12,104","12,104","442","591","2,643","2,269","1,594","1,771","1,501","805","425","60","3"
"서울특별시 광진구 구의제2동(1121586000)","25,688","25,688","1,354","2,129","3,321","3,617","4,030","4,438","3,761","2,041","893","98","6","12,275","12,275","681","1,099","1,603","1,777","1,958","2,105","1,753","923","355","21","0","13,413","13,413","673","1,030","1,718","1,840","2,072","2,333","2,008","1,118","538","77","6"
"서울특별시 광진구 구의제3동(1121587000)","27,817","27,817","1,588","2,277","4,107","4,494","4,066","4,652","3,769","1,857","880","123","4","13,128","13,128","796","1,124","1,862","2,168","1,912","2,216","1,786","866","358","38","2","14,689","14,689","792","1,153","2,245","2,326","2,154","2,436","1,983","991","522","85","2"
"서울특별시 동대문구 (1123000000)","341,521","341,521","18,395","22,867","57,102","49,380","48,835","52,313","48,674","28,259","13,998","1,640","58","167,569","167,569","9,332","11,575","27,176","25,427","25,128","26,435","23,712","12,685","5,647","440","12","173,952","173,952","9,063","11,292","29,926","23,953","23,707","25,878","24,962","15,574","8,351","1,200","46"
